Termékcsoport;Cikkszám;Vonalkód;Megnevezés;Kiszerelés;;Nagyker nettó ár;Áfa;Nagyker bruttó ár;VTSZ;Státusz
Reformélelmiszer,élvezeti tea;19129;5999882901619;TÖNKÖLYSAJT VÁKUUMCSOMAGOLT 200G;200.000;g;426;18;502;190190000;
Reformélelmiszer,élvezeti tea;45062;5999883015636;BORSA KARÁCSONYI-VÖRÖSÁFONYÁS SZALONCUKOR 150G;150;g;978;27;1 241;1806 31;
Reformélelmiszer,élvezeti tea;25247;5999883161302;BIOGOLD MÁKOLAJ 100ML;100.000;ml;690;27;876;151590;
Reformélelmiszer,élvezeti tea;38826;5999883267066;MAKKA 300G ROST 30DB;30;db;1 484;27;1 884;210690;
Reformélelmiszer,élvezeti tea;28371;5999883305300;NATURBIT UZSI KEKSZ 150G;150.000;g;391;27;497;190531;
Reformélelmiszer,élvezeti tea;38724;5999883305959;GLUTÉNMENTES MIMEN CSICSERI TÉSZTA TARHONYA 200G ;200;g;316;27;402;1901200000;
Reformélelmiszer,élvezeti tea;20263;5999883802519;DR.CHEN TEA ALOE VERA ZÖLD FILTERES 20DB;20.000;db;499;27;634;902200000;
Reformélelmiszer,élvezeti tea;33383;5998219305762;VIVA NATURA BROKKOLI POR 150G;150.000;g;925;27;1 174;2106;
Reformélelmiszer,élvezeti tea;33500;5998219305847;VIVA NATURA ALMAROST POR 150G;150.000;g;412;27;523;2106;
Reformélelmiszer,élvezeti tea;33878;2000033878001;ST.DALFOUR DZSEM ANANÁSZ MANGÓ 284G;284.000;g;531;27;675;2007109;
Reformélelmiszer,élvezeti tea;44161;8712857008208;TROPICAL ALOE VERA ICE TEA ZÖLD TEÁBÓL 500ML;500;ml;271;27;344;22029010;
Reformélelmiszer,élvezeti tea;44174;8712857971168;TROPICAL SZÉNSAVMENTES ALOE VERA ÜDITŐITAL 240ML;240;ml;196;27;248;22029010;
Reformélelmiszer,élvezeti tea;44159;8712857973483;TROPICAL SZÉNSAVMENTES ALOE VERA ÜDITŐITAL BÚZAFŰLÉVEL 500ML;500;ml;271;27;344;22029010;
Reformélelmiszer,élvezeti tea;33904;8850904373289;GIFFARINE CURCUMA ITAL 300ML;300.000;ml;3 864;27;4 907;2106909845;
Reformélelmiszer,élvezeti tea;21855;8851613101378;AROY-D KÓKUSZTEJ 250ML;250.000;ml;309;27;393;2106090899;
Reformélelmiszer,élvezeti tea;21877;8888196405722;POKKA ALOE VERA ITAL SZŐLŐ 300ML;300.000;ml;204;27;259;2009709900;
Reformélelmiszer,élvezeti tea;36408;4770266127556;ZIPP HALVA FÖLDIMOGYORÓS KAKAÓS 250G;250.000;g;391;27;497;1704909991;
Reformélelmiszer,élvezeti tea;32222;4770266127839;ARSENAL BALTIJA HALVA SZELET NAPRAFORGÓMAGOS 150G;1.000;db;236;27;299;2008990000;
Reformélelmiszer,élvezeti tea;25061;5411188089971;ALPRO SZÓJAITAL NATÚR + KALCIUM 250ML;250.000;ml;144;27;183;22029010;
Reformélelmiszer,élvezeti tea;31359;5999538140133;SUNVITA SZILVA ÉS ALOE VERA GYÜMÖLCSSZELET 5DB 75G;5.000;db;219;27;277;2008929800;
